,0
1170,Tifab
1171,Cxcl14
1172,Gm10782
1173,Slc25a48
1174,Lect2
1175,Trpc7
1176,Spock1
1177,Slc28a3
1178,Golm1
1179,4921517D22Rik
1180,A530065N20
1181,Gm5084
1182,BC051665
1183,Ctsr
1184,Fbp2
1185,Fbp1
1186,F630042J09Rik
1187,A130040M12Rik
1188,Adcy2
1189,Ube2ql1
1190,Adamts16
1191,8030423J24Rik
1192,Irx1
1193,Gm20554
1194,Irx2
1195,Irx4
1196,D630045M09Rik
1197,Slc6a3
1198,Slc6a18
1199,Slc6a19
1200,5430425J12Rik
1201,Slc9a3
1202,Ahrr
1203,Pcsk1
1204,Nr2f1
1205,A830082K12Rik
1206,9330111N05Rik
1207,Gpr98
1208,C130071C03Rik
1209,2810049E08Rik
1210,Edil3
1211,Hapln1
1212,Atp6ap1l
1213,Acot12
1214,Ckmt2
1215,Ankrd34b
1216,Thbs4
1217,Gm4814
1218,Bhmt
1219,Bhmt2
1220,Dmgdh
1221,AW495222
1222,Crhbp
1223,S100z
1224,F2rl2
1225,Gm5086
1226,Tmem174
1227,Tmem171
1228,Zfp366
1229,Cartpt
1230,Naip2
1231,Naip5
1232,Naip6
1233,Naip7
1234,Naip1
1235,4933416M06Rik
1236,Cd180
1237,Fam159b
1238,Rnf180
1239,Depdc1b
1240,Rab3c
1241,Gapt
1242,Il31ra
1243,Gm6320
1244,Gzma
1245,Esm1
1246,Hspb3
1247,Fst
1248,Isl1
1249,Hcn1
1250,4933413L06Rik
1251,Fgf10
1252,Ccl28
1253,AF067061
1254,BC147527
1255,Gm3002
1256,Gm3264
1257,Acox2
1258,Fam107a
1259,Oit1
1260,Fezf2
1261,Cadps
1262,Gm5087
1263,Synpr
1264,Sntn
1265,Nek10
1266,Lrrc3b
1267,Gm5458
1268,Kcnk16
1269,Ttc18
1270,Myoz1
1271,Dusp13
1272,Gm10248
1273,E330034G19Rik
1274,Plac9
1275,D14Ertd449e
1276,Erc2
1277,Cacna2d3
1278,Lrtm1
1279,Itih4
1280,Itih3
1281,Itih1
1282,Tnnc1
1283,Sema3g
1284,Colq
1285,Galntl2
1286,Ogdhl
1287,1700024G13Rik
1288,Chat
1289,Slc18a3
1290,3425401B19Rik
1291,1810011H11Rik
1292,Wdfy4
1293,Gdf10
1294,Gdf2
1295,Rbp3
1296,Zfp488
1297,A630023A22Rik
1298,Anxa8
1299,Ppyr1
1300,Gprin2
1301,Fam25c
1302,Ldb3
1303,Opn4
1304,Grid1
1305,Cdhr1
1306,2610528A11Rik
1307,Nrg3
1308,Dydc2
1309,Mat1a
1310,Sftpa1
1311,Mbl1
1312,Sftpd
1313,Ear1
1314,Ear2
1315,Ptgdr
1316,Gm15217
1317,Gm6498
1318,Otx2
1319,1700011H14Rik
1320,Slc35f4
1321,Tlr11
1322,Klhl33
1323,Rnase10
1324,Rnase12
1325,Rnase6
1326,Rnase1
1327,Ear11
1328,Ang4
1329,G630016D24Rik
1330,A430107P09Rik
1331,Rem2
1332,Cebpe
1333,Il25
1334,Cmtm5
1335,Myh6
1336,D830015G02Rik
1337,Myh7
1338,Zfhx2as
1339,Jph4
1340,Dhrs2
1341,Cpne6
1342,Fitm1
1343,Cideb
1344,Ltb4r2
1345,Cbln3
1346,Cma1
1347,Mcpt1
1348,Mcpt2
1349,Mcpt4
1350,Mcpt8
1351,Ctsg
1352,Gzmn
1353,Gzmb
1354,Atp12a
1355,Gja3
1356,Gjb2
1357,Gjb6
1358,Shisa2
1359,Fam123a
1360,C1qtnf9
1361,Sgcg
1362,Arl11
1363,Gucy1b2
1364,Defb47
1365,Defb42
1366,Gata4
1367,Blk
1368,Tdh
1369,Xkr6
1370,A930011O12Rik
1371,Fbxo16
1372,Scara5
1373,Scara3
1374,Gulo
1375,Adam2
1376,Stmn4
1377,Gm5464
1378,Pnma2
1379,Ebf2
1380,Gm6878
1381,4930438E09Rik
1382,Nefl
1383,A230070E04Rik
1384,Adam7
1385,Adamdec1
1386,Entpd4
1387,Sftpc
1388,Lgi3
1389,Htr2a
1390,5031414D18Rik
1391,Cpb2
1392,4930444M15Rik
1393,Enox1
1394,Gm6994
1395,AU021034
1396,Zfp957
1397,Lect1
1398,4930452G13Rik
1399,Pcdh8
1400,Gm10845
1401,Olfm4
1402,9630013A20Rik
1403,Pcdh20
1404,Pcdh9
1405,Klhl1
1406,Klf5
1407,Irg1
1408,Scel
1409,Slain1
1410,4921525B02Rik
1411,Slitrk1
1412,Slitrk6
1413,Slitrk5
1414,Gpc5
1415,Dct
1416,Sox21
1417,Hs6st3
1418,1700006F04Rik
1419,Slc15a1
1420,Gm5089
1421,Zic5
1422,2610035F20Rik
1423,Zic2
1424,Nalcn
1425,Itgbl1
1426,Fgf14
1427,Plcxd3
1428,C6
1429,Heatr7b2
1430,C7
1431,5430437J10Rik
1432,C9
1433,Gdnf
1434,Slc1a3
1435,Ranbp3l
1436,Ugt3a1
1437,Ugt3a2
1438,Il7r
1439,Agxt2
1440,Gm19276
1441,C1qtnf3
1442,Rxfp3
1443,Adamts12
1444,Npr3
1445,1700047G03Rik
1446,Cdh6
