,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,TRA
Apoa1,0.953,0.04700000000000004,3.0094670996713875,7.290792e-05,1.0582212e-05,0.0,0.25,2.5109222,2.6309752,3.146408,-8.144885,11.364353,1.6007446,0.14778978,0.09186053465701585,0.018515429524603822,0.85861737,0.12262368,True,WT vs Aire_KO,WT,Aire_KO,True
Klk7,0.9538,0.04620000000000002,3.0274740018106154,4.8268477e-05,8.3668965e-06,0.0,0.25,2.510422,2.5565524,3.0587742,-10.743535,12.951139,0.7815891,0.08824019,0.05932659529932481,0.008340283569641373,0.42785397,0.06510382,True,WT vs Aire_KO,WT,Aire_KO,True
Adcy2,0.9522,0.047799999999999954,2.9917492585600054,5.9574686e-05,5.5105916e-06,0.0,0.25,2.5043495,2.2241535,2.0583966,-4.4199314,10.621139,0.4441148,0.01751458,0.14269481490341163,0.014845704753961646,0.38908547,0.014023382,True,WT vs Aire_KO,WT,Aire_KO,True
Unc13b,0.9608,0.03920000000000001,3.199089279275342,2.24379e-05,3.4436646e-06,0.0,0.25,2.4998782,2.51818,1.7135763,-3.2462378,9.44538,0.19657604,0.02485402,0.11004126547454887,0.022685571309424467,0.13001308,0.017095217,True,WT vs Aire_KO,WT,Aire_KO,False
Penk,0.9592,0.04079999999999995,3.157417287630535,4.181471e-05,9.537553e-06,0.0,0.25,2.4937108,2.6685505,2.5440211,-7.779337,9.431153,0.30608198,0.026855702,0.051312720531069195,0.011009174311926613,0.17581317,0.021582516,True,WT vs Aire_KO,WT,Aire_KO,False
Lypd2,0.9574,0.04259999999999997,3.112366799386283,0.00013317652,1.9507497e-05,0.0,0.25,2.4652805,2.6937895,2.290693,-5.515047,10.14973,2.4643588,0.05437869,0.2835356737037412,0.015512927439532956,1.3613749,0.03544684,True,WT vs Aire_KO,WT,Aire_KO,True
Nckap5,0.9584,0.04159999999999997,3.1371648301434383,7.814525e-05,1.1272618e-05,0.0,0.25,2.4625726,2.4327688,1.9029135,-4.30678,9.34281,0.7086107,0.07139295,0.24286824950661845,0.059049207673061065,0.50402045,0.05436175,True,WT vs Aire_KO,WT,Aire_KO,False
Slit2,0.957,0.04300000000000004,3.1026030536505993,5.8769918e-05,1.5644673e-05,0.0,0.25,2.4552984,2.5570264,2.592178,-8.729201,13.375865,0.577954,0.16763954,0.08384665988876117,0.04420350291909926,0.40799835,0.12279577,True,WT vs Aire_KO,WT,Aire_KO,False
Esrrg,0.9332,0.06679999999999997,2.636916320619904,0.0001237849,6.2560675e-06,0.0,0.25,2.449412,2.0065312,2.6815598,-4.132141,12.063721,2.0996974,0.07956633,0.3084743735422709,0.07005838198498748,1.3555714,0.055525143,False,WT vs Aire_KO,WT,Aire_KO,True
Slpi,0.95,0.050000000000000044,2.9444387896927755,7.447285e-05,1.1976945e-05,0.0,0.25,2.4411786,2.5955458,2.6026278,-7.384264,9.988548,1.2283936,0.060383737,0.1013695353148703,0.018515429524603822,0.638853,0.044198856,True,WT vs Aire_KO,WT,Aire_KO,False
