,entropy
Imp4,4.283180796491913
Ptpn18,4.1274831828393035
Cfc1,3.55494227519266
Fam123c,2.5527899095692765
Arhgef4,3.942987074299717
Fam168b,4.348674197697583
Plekhb2,4.224614512497696
Hs6st1,4.241403458874923
Uggt1,4.294142970657909
Neurl3,4.08858139514474
Arid5a,4.171399640667725
4632411B12Rik,4.294941658088515
Lman2l,4.168827468141421
Cnnm4,4.0386142436936625
Cnnm3,4.275622502951794
Ankrd23,4.112410623317687
Ankrd39,4.209307368640302
Sema4c,4.068703640358017
Fam178b,4.030807607205698
Cox5b,4.290478020368021
Actr1b,4.277323411368827
Zap70,3.628329336107631
Tmem131,4.3258565714770105
Inpp4a,4.13638053329904
6330578E17Rik,4.331033593233283
Unc50,4.31499724293623
Mgat4a,4.09831664507948
4930594C11Rik,4.12607533285934
2010300C02Rik,3.948871288716337
Tsga10,4.112423006068549
Lipt1,4.204199483909677
Mitd1,4.3134665973435515
Mrpl30,4.371991261536261
Lyg1,1.9941531113142879
Txndc9,4.360917298647204
Eif5b,4.357994625478441
Rev1,4.3029529539310065
Aff3,4.082345648189756
Lonrf2,3.2583017834702637
Chst10,3.9535316745894176
Pdcl3,4.3459410494100705
Npas2,4.056767700422836
Rpl31,4.223221453025706
Tbc1d8,4.173483038500277
D1Bwg0212e,4.319021293001119
Snord89,3.983671290187823
Rnf149,4.334350794603124
Creg2,3.1922673248449795
Rfx8,3.4790504589505233
Map4k4,4.313958467725019
Gm16894,4.072387164774196
Il1r2,3.6314233039966526
Il1r1,4.026538997811283
Il1rl2,3.8275674535138755
Il1rl1,3.8479700993510324
Il18r1,3.9860539378328763
Il18rap,3.696838281113529
Slc9a4,3.7902747355007844
Slc9a2,3.118707937313844
Mfsd9,3.910548050659276
Tmem182,3.4017961961482515
2610017I09Rik,2.816316001781294
Pou3f3,3.029563825926823
2900092D14Rik,2.679747846401504
Mrps9,4.327604259175078
Gpr45,3.630957918943418
Tgfbrap1,4.244347801857694
AI597479,4.240930850550352
Fhl2,4.078339484320558
Nck2,4.1685430088368935
1500015O10Rik,3.60727006050948
Uxs1,4.050723886106215
Tpp2,4.330946913977248
A530098C11Rik,4.1537332388057955
1700029F09Rik,4.246524758252315
Kdelc1,4.18455631345873
Bivm,4.219651093193795
Ercc5,4.290076956826209
4832428D23Rik,3.473023154968385
Gulp1,3.8775844799337027
Col3a1,3.4906709827040214
Col5a2,3.7879529697141363
Wdr75,4.265551198917268
Slc40a1,4.070331284165782
Dnahc7b,3.831961954208722
Slc39a10,4.210141828462288
Tmeff2,3.457190432129955
9330175M20Rik,3.756931771047408
Sdpr,3.7554761098905054
Obfc2a,4.256598126078652
Myo1b,4.084879640567569
Stat4,3.851932923592213
Stat1,4.263753980215752
Gls,4.319495277186896
Nab1,4.361147411434058
Tmem194b,4.166969023616198
Mfsd6,4.182192583905271
Inpp1,4.225253256063
Hibch,4.245778697512873
1700019D03Rik,3.9193418675631926
1700019A02Rik,4.050244742440911
Pms1,4.1568767376982665
Ormdl1,4.209644798601294
Osgepl1,4.222959351465792
Asnsd1,4.325724832766449
Dnahc7a,4.030286843738885
Stk17b,4.217579734146803
Hecw2,4.104585412703429
Ccdc150,3.7918184517749287
Gtf3c3,4.248715129293704
Pgap1,4.252555845852773
Ankrd44,4.209135729954741
Sf3b1,4.372880755806523
Coq10b,4.259718923261208
Hspd1,4.364408890425021
Hspe1,4.279005057728964
Mob4,4.366218835842701
Rftn2,4.108222157838574
Mars2,4.196949727245205
Boll,3.6817340767841538
Plcl1,3.9987462574665513
9130227L01Rik,1.1183342135178487
Satb2,3.5326615788080815
9130024F11Rik,3.8401610551059555
4930558J18Rik,3.754213757233172
1700066M21Rik,4.07151280497721
1110034B05Rik,4.2963329977339955
9430016H08Rik,4.288639181864997
Spats2l,4.1380835055078835
Kctd18,4.256906318988998
Sgol2,4.157072109989646
Aox1,3.8578525664349113
Aox3,3.630286154709148
Aox4,3.230217016584367
Aox3l1,3.849888737804058
Bzw1,4.362588970013591
Clk1,4.358167983990511
Ppil3,4.293187779015017
Nif3l1,4.192533900701652
Orc2,4.230861954272938
Fam126b,4.273087478678076
Ndufb3,4.330863330408929
Gm20257,4.213937485566831
Als2cr12,3.729683527775308
Cflar,4.3258146077102
Casp8,4.258700442002799
Trak2,4.274872658594032
Stradb,4.17344382645588
Als2cr4,4.195649538404683
Mpp4,4.101507611183588
Als2,4.2015430398844495
Cdk15,3.9214861472541505
Fzd7,4.133683157402908
Gm973,3.628476897222071
Sumo1,4.3680931027718035
Nop58,4.268409550574608
Snord70,4.0516003096950115
Bmpr2,4.128431839141463
Fam117b,4.28131856834837
Ica1l,3.914401149969206
Wdr12,4.25921295030237
Carf,4.1548425269038605
Nbeal1,4.3037812223775616
Cyp20a1,4.04941750589026
Abi2,4.192121486304883
Raph1,4.24694611574693
Cd28,3.626788027590598
Ctla4,3.5886680730268568
Icos,3.8914204841956157
Pard3b,4.19158868405251
Nrp2,4.199175870677974
4930487H11Rik,3.9818266042746684
Ino80d,4.337122467004429
Gm11602,4.08882870619668
Ndufs1,4.284139427787822
Eef1b2,4.3114114046657415
Snora41,4.122894341748982
Gpr1,3.8343838138981723
Zdbf2,3.3961964410361585
Adam23,3.7894234213790132
Mdh1b,2.743061711472789
Fastkd2,4.192973144391956
Gm13749,3.54812522687776
Klf7,4.224395406600496
Creb1,4.318120447875899
Mettl21a,4.150734893270654
2810408I11Rik,4.169896168333882
Ccnyl1,4.192659448036782
Fzd5,4.239833945203149
Plekhm3,4.198600072762885
Akr1cl,3.2146027117125326
D630023F18Rik,3.5821361719470874
Idh1,4.191743812403589
Pikfyve,4.296148976297572
Mtap2,3.930771834539535
Unc80,3.110741700925879
Rpe,4.301887005460959
1110028C15Rik,4.3028322221101005
Acadl,4.346491737858133
Myl1,3.456998843456894
Lancl1,4.2040742805398486
Cps1,1.873282156444048
Erbb4,3.2882752638279356
Ikzf2,4.18070940552423
Spag16,3.6388096148859086
Vwc2l,2.8764203266221773
Bard1,4.192588247219325
Abca12,2.5426307224001596
Atic,4.3191213869039204
Fn1,3.8462960202275336
Apol7d,3.875949612854601
Gm8883,2.8562880375121766
4933417E11Rik,2.6674239136059765
Mreg,4.187410881497751
Pecr,4.036324122714773
Tmem169,3.584692522069512
Xrcc5,4.2617445349230705
March4,3.277666685992114
Smarcal1,4.200075683907288
Rpl37a,4.196912235027318
Igfbp2,3.247966658049314
Igfbp5,3.798656481973234
Pinc,3.2395615219363467
6030407O03Rik,3.537421714618662
Tns1,4.098379934694997
Rufy4,3.746377883694561
Cxcr2,3.3450460489471454
Cxcr1,3.388642963010264
Arpc2,4.362952541337514
Gpbar1,3.9769660305959835
Aamp,4.372362744062124
Pnkd,4.336758207749901
Tmbim1,4.171695450827209
Gm216,3.9181600027864634
Slc11a1,3.5174868615918524
Ctdsp1,4.325804288751148
Vil1,3.3122830099924783
Usp37,4.248055059879693
Rqcd1,4.197487001046501
Plcd4,3.8735043635246336
Zfp142,4.234233158195151
Bcs1l,4.195289062768475
Rnf25,4.221219231004362
Stk36,4.01390687210541
Ttll4,4.218220541503918
Cyp27a1,4.02574306210309
Prkag3,3.9197910862472463
Wnt6,3.9849456816307165
Wnt10a,3.501015051222816
Cdk5r2,3.1975396249898296
Fev,2.6576141951834127
Cryba2,2.8179018538048997
Mir375,2.1989873721969575
Ccdc108,3.3166613443181436
Ihh,3.1482975523947903
Nhej1,4.218248402693358
Slc23a3,4.049955811587461
1810031K17Rik,4.327276116277232
Fam134a,4.309825380659484
Zfand2b,4.297821679559863
Abcb6,4.120779299108671
Atg9a,4.272863901231955
Ankzf1,4.2461343576348565
Glb1l,4.070027218839057
Stk16,4.326884339798566
Tuba4a,4.260696128683411
A630095N17Rik,3.5434841030615765
Dnajb2,4.270245637355219
Ptprn,3.296738874042196
Resp18,1.4950635860940378
Dnpep,4.288561445706806
Des,3.59584456508206
Gm15179,3.3849652860042134
Speg,3.9079548962495663
Gmppa,4.244805619674291
Accn4,3.8034310643264875
Chpf,4.170452360226773
Tmem198,3.7336759330324374
Obsl1,3.869500951377849
Inha,3.524288087502873
Stk11ip,4.158158008447194
Slc4a3,4.006109866645893
Epha4,3.8937687353104966
Pax3,2.8595864927730745
Sgpp2,3.6375352234430154
Farsb,4.282907000111739
Mogat1,3.914925353089036
Acsl3,4.187800250219304
Utp14b,4.062975242223078
Kcne4,3.6235815830479123
Scg2,1.7755060638275715
Ap1s3,4.004215305763989
Wdfy1,4.228171113717538
Mrpl44,4.244024474474072
Serpine2,4.044726163140025
Fam124b,3.5250368999647295
Cul3,4.358928835237928
Dock10,3.9987448816053446
9430031J16Rik,2.2853101081965743
Irs1,4.097559921415684
Rhbdd1,4.2051402290098965
Col4a4,3.8886591307533624
Col4a3,3.754828079262054
Mff,4.335067274326619
Tm4sf20,2.1512530715020324
Agfg1,4.313460749933422
Slc19a3,3.5895909319313866
Ccl20,2.827096218302676
Wdr69,3.1597877132989347
Sphkap,3.0920695445217037
Pid1,3.9876719506121936
Dner,3.2830903308697237
Trip12,4.364163643164891
Fbxo36,4.160884621393973
Slc16a14,3.264079024678047
A530032D15Rik,3.67661656102508
Gm7609,3.7747870098599847
C130026I21Rik,3.8989289027669845
Sp110,4.067617741900468
Sp140,4.047597929444132
Sp100,4.016174291374385
A630001G21Rik,3.8919921545270837
Cab39,4.3643077646263135
Itm2c,4.29322630312881
4933407L21Rik,3.826662136839734
Gpr55,3.8087673420174584
Spata3,3.0947514419792586
2810459M11Rik,3.0787845726731553
Psmd1,4.344177539308124
Htr2b,4.18342810726907
Armc9,4.207526660273269
B3gnt7,3.5496565604010426
Ncl,4.360127554314442
Snora75,4.153332175263984
C130036L24Rik,4.266100855469426
Nmur1,3.7931348069846327
Ptma,4.281919131765183
Pde6d,4.273292481997904
Cops7b,4.244899522201662
Nppc,3.6202124429175098
Dis3l2,4.198609703791334
Alpi,1.7454722175594466
Ecel1,3.6600394972737154
Prss56,3.001778652818729
Eif4e2,4.365765489575026
Efhd1,3.7174920216209455
Gigyf2,4.275636949494467
Kcnj13,4.109916874880176
3110079O15Rik,2.498206915751693
Ngef,3.938443636629223
Neu2,3.609072782655824
Inpp5d,3.851666006518074
Atg16l1,4.271145106619231
Scarna6,3.095591749211374
Sag,4.174729912719033
Dgkd,4.235668525399252
Usp40,4.243202053437646
Ugt1a9,2.5838167836634836
Ugt1a7c,3.4828024324617464
Ugt1a6b,3.6678691794368956
Ugt1a6a,3.9044117096764905
Ugt1a5,3.3802051501936328
Ugt1a2,3.4255679821158105
Dnajb3,4.026323331567101
Ugt1a1,2.947528445430565
Heatr7b1,3.924573923767741
Hjurp,4.267387973628483
A730008H23Rik,4.053415414592218
Spp2,2.4511000077671152
Glrp1,3.2057947922312446
Gm19589,3.5445878877148136
Arl4c,4.216934799206068
Sh3bp4,4.02830835532336
Agap1,4.127713983556761
4933400F21Rik,3.7598637312793173
Gbx2,3.4667361571834445
Iqca,3.663600570042481
Cxcr7,3.996157230640463
Cops8,4.3383524869234
Col6a3,3.755381175467229
Mlph,3.564742190604125
Rab17,3.6570913706726254
Lrrfip1,4.348956593210299
Rbm44,3.9539413372637724
Ramp1,4.170939759059318
Ube2f,4.333293445265619
Scly,4.170177531950694
Espnl,3.7056867885004205
Klhl30,3.7220117256856198
Fam132b,3.077002488444915
Ilkap,4.350250590675391
1700020N18Rik,3.6656636739222312
Hes6,4.241257961552293
Per2,4.182060157264107
Traf3ip1,4.261660951354751
Asb1,4.198300822950384
Twist2,3.6775411397561184
Hdac4,4.257441528998483
Ndufa10,4.331290879278973
Myeov2,4.303483692391569
Otos,3.972544356642301
Gpc1,4.175449144164941
Ankmy1,3.7712410715644955
Dusp28,4.224647877131963
Rnpepl1,4.306628223179945
9430060I03Rik,4.160625959487075
Capn10,4.155519106652355
Gpr35,3.640707271455529
Aqp12,2.5864625647643567
Kif1a,3.2331613595671382
Agxt,1.8535277132179933
2310007B03Rik,2.8473863874861687
Sned1,3.8736649953205395
Mterfd2,4.248526636308359
Pask,4.011457495191822
Ppp1r7,4.297249665263094
Ano7,3.226919077271422
Hdlbp,4.353670981635751
Sept2,4.283502404049027
Farp2,4.071110709539492
Stk25,4.303809427532303
Bok,3.9721787215265665
Thap4,4.223116199643378
Atg4b,4.269569401572027
Dtymk,4.326447503865375
Ing5,4.249742897615261
D2hgdh,4.2309513852513865
Gal3st2,3.3144589344911948
Gm9994,2.4669838094528513
Gm6086,2.2514327936469676
Neu4,2.145571108682827
Pdcd1,3.4770018016134454
Fam174a,4.320406097305866
