,0
895,Hdac2
896,Marcks
897,Lama4
898,1700025K23Rik
899,Tube1
900,Wisp3
901,Fyn
902,Traf3ip2
903,E130307A14Rik
904,Rev3l
905,AA474331
906,G630090E17Rik
907,Slc16a10
908,Rpf2
909,Gtf3c6
910,Amd1
911,Cdk19
912,9030224M15Rik
913,Cdc40
914,Wasf1
915,Fig4
916,Zbtb24
917,Mical1
918,Smpd2
919,Ppil6
920,Cd164
921,Ccdc162
922,Cep57l1
923,Sesn1
924,Armc2
925,Foxo3
926,Lace1
927,Snx3
928,Ostm1
929,Sec63
930,Scml4
931,Sobp
932,Pdss2
933,Bend3
934,1700021F05Rik
935,Cd24a
936,Qrsl1
937,Rtn4ip1
938,Aim1
939,Atg5
940,Mir1929
941,Prdm1
942,Prep
943,Hace1
944,Ascc3
945,Gp49a
946,Lilrb4
947,Dcbld1
948,Gopc
949,Nus1
950,Gm9766
951,Gm19395
952,Mcm9
953,Asf1a
954,Fam184a
955,Man1a
956,Gm16998
957,D630037F22Rik
958,Msl3l2
959,Gja1
960,Hsf2
961,Serinc1
962,Pkib
963,Smpdl3a
964,Gcc2
965,Lims1
966,Ranbp2
967,Ccdc138
968,Sh3rf3
969,Sept10
970,Sowahc
971,P4ha1
972,Ccdc109a
973,Micu1
974,Dnajb12
975,Ddit4
976,Anapc16
977,Ascc1
978,Chst3
979,Psap
980,4632428N05Rik
981,Gm17455
982,Slc29a3
983,Unc5b
984,Sgpl1
985,Adamts14
986,X99384
987,Nodal
988,Eif4ebp2
989,Lrrc20
990,Ppa1
991,Sar1a
992,Tysnd1
993,Aifm2
994,H2afy2
995,2010107G23Rik
996,Tspan15
997,Hk1
998,2210417K05Rik
999,Supv3l1
1000,4930507D05Rik
1001,Vps26a
1002,Srgn
1003,2510003E04Rik
1004,Ddx21
1005,Ddx50
1006,Stox1
1007,Ccar1
1008,Tet1
1009,Slc25a16
1010,Dna2
1011,Rufy2
1012,Hnrnph3
1013,Mypn
1014,Herc4
1015,Sirt1
1016,Dnajc12
1017,Reep3
1018,Jmjd1c
1019,Nrbf2
1020,Egr2
1021,Ado
1022,Rtkn2
1023,Arid5b
1024,1700040L02Rik
1025,Tmem26
1026,Rhobtb1
1027,Cdk1
1028,Ank3
1029,Ccdc6
1030,2310015B20Rik
1031,Slc16a9
1032,Tfam
1033,Ube2d1
1034,Cisd1
1035,Ipmk
1036,Zwint
1037,Gnaz
1038,Rab36
1039,Bcr
1040,Specc1l
1041,Adora2a
1042,1110038D17Rik
1043,Snrpd3
1044,AI646023
1045,Ggt5
1046,Susd2
1047,Cabin1
1048,Ddt
1049,Gstt3
1050,Gstt1
1051,Gstt4
1052,Gstt2
1053,Mif
1054,Derl3
1055,Smarcb1
1056,Mmp11
1057,Chchd10
1058,Zfp280b
1059,Prmt2
1060,Dip2a
1061,Pcnt
1062,Ybey
1063,Mcm3ap
1064,Lss
1065,Pcbp3
1066,Slc19a1
1067,Col18a1
1068,Gm10941
1069,Pofut2
1070,Adarb1
1071,Gm17769
1072,1810008A18Rik
1073,Pttg1ip
1074,Sumo3
1075,Ube2g2
1076,1810043G02Rik
1077,Pfkl
1078,Dnmt3l
1079,Icosl
1080,D10Jhu81e
1081,Pwp2
1082,Trappc10
1083,Agpat3
1084,Rrp1
1085,Cstb
1086,Pdxk
1087,Ilvbl
1088,Syde1
1089,2610008E11Rik
1090,Ppap2c
1091,Mier2
1092,Gm16517
1093,Cdc34
1094,Gzmm
1095,Bc1
1096,Bsg
1097,Polrmt
1098,Rnf126
1099,Fstl3
1100,Prss57
1101,Palm
1102,E130317F20Rik
1103,Ptbp1
1104,BC005764
1105,Med16
1106,C030046I01Rik
1107,Kiss1r
1108,Arid3a
1109,Wdr18
1110,Grin3b
1111,ORF61
1112,Cnn2
1113,Abca7
1114,Hmha1
1115,Polr2e
1116,Gpx4
1117,Sbno2
1118,Stk11
1119,Dos
1120,Atp5d
1121,Midn
1122,Cirbp
1123,1600002K03Rik
1124,Efna2
1125,Mum1
1126,Ndufs7
1127,Gamt
1128,Dazap1
1129,Rps15
1130,Apc2
1131,2310011J03Rik
1132,Pcsk4
1133,Adamtsl5
1134,Mex3d
1135,Mbd3
1136,Uqcr11
1137,Tcf3
1138,Rexo1
1139,Klf16
1140,Fam108a
1141,Adat3
1142,Scamp4
1143,Csnk1g2
1144,Btbd2
1145,Mknk2
1146,Mob3a
1147,Izumo4
1148,Ap3d1
1149,Dot1l
1150,Plekhj1
1151,Sf3a2
1152,Jsrp1
1153,Oaz1
1154,Lsm7
1155,3110056O03Rik
1156,Tmprss9
1157,Timm13
1158,Lmnb2
1159,Gadd45b
1160,Slc39a3
1161,Sgta
1162,Thop1
1163,Map2k2
1164,Zbtb7a
1165,Pias4
1166,Eef2
1167,Dapk3
1168,2310050B05Rik
1169,Zfr2
1170,Matk
1171,Mrpl54
1172,Apba3
1173,Tjp3
1174,Pip5k1c
1175,2510012J08Rik
1176,Tbxa2r
1177,Gipc3
1178,Hmg20b
1179,Mfsd12
1180,4930404N11Rik
1181,Fzr1
1182,Dohh
1183,2210404O07Rik
1184,Nfic
1185,Celf5
1186,Ncln
1187,S1pr4
1188,Gna11
1189,Aes
1190,Tle2
1191,Tle6
1192,BC025920
1193,Sirt6
1194,Ankrd24
1195,Gm10778
1196,Zfp433
1197,Zfp781
1198,Zfp873
1199,AU041133
1200,Zfp938
1201,1190007I07Rik
1202,Tdg
1203,Glt8d2
1204,Hcfc2
1205,Nfyb
1206,Txnrd1
1207,Eid3
1208,Chst11
1209,Slc41a2
1210,D10Wsu102e
1211,Aldh1l2
1212,A230046K03Rik
1213,Appl2
1214,1500009L16Rik
1215,Nuak1
1216,Ckap4
1217,Tcp11l2
1218,Polr3b
1219,Ric8b
1220,AI597468
1221,Mterfd3
1222,Cry1
1223,Btbd11
1224,Pwp1
1225,Prdm4
1226,Ascl4
1227,D10Wsu52e
1228,Fbxo7
1229,Syn3
1230,Timp3
1231,1810014B01Rik
1232,Hsp90b1
1233,BC030307
1234,Nt5dc3
1235,Stab2
1236,1700113H08Rik
1237,4930547N16Rik
1238,Nup37
1239,Ccdc53
1240,Dram1
1241,Gnptab
1242,Sycp3
1243,Chpt1
1244,Spic
1245,Gm4925
1246,Arl1
1247,Utp20
1248,Gas2l3
1249,Slc17a8
1250,Scyl2
1251,Actr6
1252,Uhrf1bp1l
1253,Apaf1
1254,Ikbip
1255,Slc25a3
1256,Tmpo
1257,Nedd1
1258,Cdk17
1259,Mir1931
1260,Elk3
1261,Gm17745
1262,Lta4h
1263,Ccdc38
1264,Snrpf
1265,4933408J17Rik
1266,Ntn4
1267,Gm8580
1268,Gm15915
1269,Usp44
1270,Metap2
1271,Mir331
1272,Vezt
1273,Fgd6
1274,Nr2c1
1275,Ndufa12
1276,Tmcc3
1277,4932415G12Rik
1278,Ccdc41
1279,Plxnc1
1280,Cradd
1281,Socs2
1282,5730420D15Rik
1283,Mrpl42
1284,Ube2n
1285,Nudt4
1286,Eea1
1287,Btg1
1288,Atp2b1
1289,Poc1b
1290,Galnt4
1291,Dusp6
1292,Gm20110
1293,Kitl
1294,Tmtc3
1295,Cep290
1296,4930430F08Rik
1297,Rassf9
1298,Tmtc2
1299,Gm15663
1300,BC067068
1301,Ccdc59
1302,Acss3
1303,Lin7a
1304,Otogl
1305,Ppp1r12a
1306,Pawr
1307,E2f7
1308,Csrp2
1309,Zdhhc17
1310,Osbpl8
1311,Bbs10
1312,Nap1l1
1313,Gm5176
1314,Phlda1
1315,Krr1
1316,Glipr1
1317,Atxn7l3b
1318,Tbc1d15
1319,Rab21
1320,Tmem19
1321,Thap2
1322,Zfc3h1
1323,Lgr5
1324,Cnot2
1325,Rab3ip
1326,4933412E12Rik
1327,Cct2
1328,Frs2
1329,Yeats4
1330,Cpsf6
1331,Cpm
1332,Mdm2
1333,Slc35e3
1334,Nup107
1335,Rap1b
1336,4933411E08Rik
1337,Mdm1
1338,Dyrk2
1339,Cand1
1340,Helb
1341,Irak3
1342,Tmbim4
1343,Llph
1344,Msrb3
1345,Gm15910
1346,Lemd3
1347,Tbc1d30
1348,Gns
1349,Rassf3
1350,Tbk1
1351,Xpot
1352,BC048403
1353,Srgap1
1354,Gm9079
1355,Tmem5
1356,Avpr1a
1357,Ppm1h
1358,Mirlet7i
1359,Mon2
1360,Usp15
1361,Slc16a7
1362,Lrig3
1363,Xrcc6bp1
1364,Ctdsp2
1365,Avil
1366,Tsfm
1367,LOC100504608
1368,Mettl1
1369,March9
1370,Cdk4
1371,Tspan31
1372,LOC100504703
1373,Agap2
1374,Os9
1375,B4galnt1
1376,Arhgef25
1377,Dtx3
1378,F420014N23Rik
1379,Pip4k2c
