Gene Symbol,Ensembl ID,GNF GeneAtlas
Slamf6,ENSMUSG00000015314,TRE
Slamf1,ENSMUSG00000015316,TRE
Zdhhc12,ENSMUSG00000015335,TRE
Cybb,ENSMUSG00000015340,TRE
Xk,ENSMUSG00000015342,TRE
Pcolce2,ENSMUSG00000015354,TRE
Mov10l1,ENSMUSG00000015365,TRE
Fam116b,ENSMUSG00000015377,TRE
Tmem27,ENSMUSG00000015401,TRE
Ace2,ENSMUSG00000015405,TRE
Gzmb,ENSMUSG00000015437,TRE
Gzmf,ENSMUSG00000015441,TRE
Gzmn,ENSMUSG00000015443,TRE
Ager,ENSMUSG00000015452,TRE
Egfl8,ENSMUSG00000015467,TRE
Notch4,ENSMUSG00000015468,TRE
Prrt1,ENSMUSG00000015476,TRE
Fam163a,ENSMUSG00000015484,TRE
2310057J18Rik,ENSMUSG00000015519,TRE
Nat9,ENSMUSG00000015542,TRE
Nkx2-5,ENSMUSG00000015579,TRE
Zfp318,ENSMUSG00000015597,TRE
Ttbk1,ENSMUSG00000015599,TRE
Gata3,ENSMUSG00000015619,TRE
Gata5,ENSMUSG00000015627,TRE
Steap1,ENSMUSG00000015652,TRE
Anxa9,ENSMUSG00000015702,TRE
Arnt2,ENSMUSG00000015709,TRE
Nlrp5,ENSMUSG00000015721,TRE
Abo,ENSMUSG00000015787,TRE
Rxrg,ENSMUSG00000015843,TRE
Fcrls,ENSMUSG00000015852,TRE
Cd5l,ENSMUSG00000015854,TRE
Fam184b,ENSMUSG00000015879,TRE
Amdhd1,ENSMUSG00000015890,TRE
Fcgr1,ENSMUSG00000015947,TRE
1700016C15Rik,ENSMUSG00000015962,TRE
Il17rb,ENSMUSG00000015966,TRE
Cacna1d,ENSMUSG00000015968,TRE
Lrrc27,ENSMUSG00000015980,TRE
Odz1,ENSMUSG00000016150,TRE
Camk1g,ENSMUSG00000016179,TRE
H2-M3,ENSMUSG00000016206,TRE
Lonrf3,ENSMUSG00000016239,TRE
Atp1b4,ENSMUSG00000016327,TRE
Col20a1,ENSMUSG00000016356,TRE
Wt1,ENSMUSG00000016458,TRE
Cd46,ENSMUSG00000016493,TRE
Pdcd1lg2,ENSMUSG00000016498,TRE
Dyrk3,ENSMUSG00000016526,TRE
Il10,ENSMUSG00000016529,TRE
Foxred2,ENSMUSG00000016552,TRE
Phf21b,ENSMUSG00000016624,TRE
Nlrp14,ENSMUSG00000016626,TRE
Cmah,ENSMUSG00000016756,TRE
Scube1,ENSMUSG00000016763,TRE
Sulf1,ENSMUSG00000016918,TRE
Tmprss6,ENSMUSG00000016942,TRE
