,Ductal/Acinar_pancreatic,Acinar/Ductal_pancreatic,Ductal_pancreatic,Endocrine-Ngn3_pancreatic,Endocrine_pancreatic,Podocyte-like_pancreatic,Mesenchymal_pancreatic,Acinar_pancreatic,Proliferating_pancreatic
Sphk2,0.11685656756162643,0.06691877543926239,0.1693650186061859,0.15363778173923492,0.206339031457901,0.726772665977478,0.0,0.1283596158027649,0.0
Rpl18,3.230691432952881,3.2255091667175293,2.704010248184204,2.041950225830078,2.504404067993164,2.938553810119629,3.519719362258911,2.7146503925323486,3.1587088108062744
Fam83e,0.0,0.0,0.008515954948961735,0.0,0.004178987815976143,0.0,0.0,0.0010606423020362854,0.0
Spaca4,0.0,0.0,0.0,0.0,0.0019449129467830062,0.0,0.0,0.0,0.0
Sult2b1,0.016006581485271454,0.029093671590089798,0.008849319070577621,0.32841742038726807,0.08421704918146133,0.0,0.0,0.009789721108973026,0.0
Lmtk3,0.0,0.0,0.005296369083225727,0.01124380249530077,0.014385231770575047,0.0,0.0,0.0028659175150096416,0.0
Cyth2,0.48319011926651,0.3588288128376007,0.43987441062927246,1.4717135429382324,0.9314801692962646,0.4244122803211212,1.0370312929153442,0.2715696394443512,0.6587225794792175
Kcnj14,0.0,0.0,0.0,0.0,0.002508563455194235,0.0,0.0,0.0008069966570474207,0.0
Grwd1,0.3350364863872528,0.34284669160842896,0.2715657651424408,0.07427754998207092,0.10063964128494263,0.0,0.0,0.5103808045387268,0.0
Grin2d,0.005043512210249901,0.004574764985591173,0.0,0.0,0.001771842478774488,0.0,0.0,0.0032788352109491825,0.0
Kdelr1,0.7826595306396484,1.031679391860962,0.7836294174194336,0.6263527870178223,0.9313476085662842,1.4153847694396973,0.0,0.7164379954338074,1.211193561553955
Syngr4,0.0,0.00630434462800622,0.004300038330256939,0.0,0.0,0.0,0.0,0.011707792989909649,0.0
Tmem143,0.04072917625308037,0.057773325592279434,0.06754563003778458,0.018447227776050568,0.046996451914310455,0.2559472918510437,0.0,0.06857254356145859,0.0
Emp3,0.06557498872280121,0.02783386781811714,0.023071100935339928,0.03112025372684002,0.02750430256128311,0.4708254039287567,0.0,0.03796197474002838,0.8658323287963867
Ccdc114,0.0,0.038554176688194275,0.03333085775375366,0.020169612020254135,0.03938915207982063,0.0,0.0,0.01627735048532486,0.0
Abcc6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001159219304099679,0.0
Nomo1,0.15458442270755768,0.1733064204454422,0.13653875887393951,0.09364733099937439,0.16340258717536926,0.0,0.0,0.1895335465669632,0.0
Kcnj11,0.0,0.0,0.003835228504613042,0.0,0.0,0.0,0.0,0.0,0.0
Abcc8,0.12966611981391907,0.07194776833057404,0.040933266282081604,0.16399143636226654,0.8791047930717468,0.0,0.0,0.07422155886888504,0.0
Ush1c,0.054954033344984055,0.028809266164898872,0.06731145828962326,0.01002210658043623,0.37298595905303955,0.0,0.0,0.008508658967912197,0.0
Otog,0.0,0.005260357167571783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myod1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcnc1,0.0,0.0,0.0,0.03894774243235588,0.020942067727446556,0.0,0.0,0.0014360613422468305,0.0
Sergef,0.08021924644708633,0.12256281077861786,0.09789304435253143,0.06652234494686127,0.05993151664733887,0.0,0.0,0.1307906210422516,0.0
Gm15700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tph1,0.0,0.0,0.0,0.0,0.005628745071589947,0.0,0.0,0.0,0.0
Saal1,0.22344110906124115,0.2977885901927948,0.18906976282596588,0.06759805977344513,0.09759123623371124,0.4708254039287567,0.0,0.1860271543264389,0.0
Saa3,0.0,0.0,0.0018782704137265682,0.0,0.0,0.0,0.0,0.0,0.0
Saa4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saa1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saa2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hps5,0.003167554037645459,0.02933610789477825,0.04641954228281975,0.049877338111400604,0.0413094088435173,0.0,0.0,0.02417832240462303,0.0
Gtf2h1,0.12713941931724548,0.21211639046669006,0.17034170031547546,0.20537656545639038,0.15653176605701447,0.0,1.0370312929153442,0.2437201589345932,0.0
Ldha,1.880803108215332,1.9452049732208252,1.895867943763733,0.38649386167526245,0.1949097216129303,1.570624589920044,0.0,2.8555033206939697,1.8016576766967773
Ldhc,0.0,0.0,0.0016644684365019202,0.0,0.0,0.0,0.0,0.0,0.0
Tsg101,0.8516111969947815,0.870754599571228,0.7872902750968933,1.15330970287323,0.9735942482948303,0.8952376842498779,1.0370312929153442,0.7359083294868469,0.24148458242416382
Uevld,0.02433082088828087,0.0066443076357245445,0.039671339094638824,0.0,0.03845086321234703,0.4708254039287567,0.0,0.03445656970143318,0.0
Gm9999,0.0,0.0,0.0,0.0,0.0012495520059019327,0.0,0.0,0.0,0.0
Spty2d1,0.03138621151447296,0.037427496165037155,0.12457981705665588,0.05687999725341797,0.0879267156124115,0.0,0.0,0.07016388326883316,0.0
Tmem86a,0.39947739243507385,0.40611252188682556,0.25159066915512085,0.328592985868454,0.25495755672454834,0.726772665977478,1.5350722074508667,0.0636507123708725,0.3800467550754547
Ptpn5,0.0,0.004820920992642641,0.0,0.0,0.002773129381239414,0.4708254039287567,0.0,0.000980774755589664,0.0
Mrgpra6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgpra9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgpra1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgpra2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgpra2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgpra3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgpra4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgprx1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgprb5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgprb4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgprb8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgprb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgprx2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgprb2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgprb3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zdhhc13,0.10364112257957458,0.11120716482400894,0.07484747469425201,0.21374809741973877,0.11177162081003189,0.0,0.0,0.119463250041008,0.0
Csrp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
