,Tuft_intestine,Goblet_intestine,Endocrine_intestine,Stem_intestine,TA.G1_intestine,TA.G2_intestine,Paneth_intestine,Enterocyte.Mature.Proximal_intestine,Enterocyte.Mature.Distal_intestine,M.cell_intestine.ex.vivo,Tuft_intestine.ex.vivo,Goblet_intestine.ex.vivo,Endocrine_intestine.ex.vivo,TA_intestine.ex.vivo,Enterocyte.1_intestine.ex.vivo,Enterocyte.2_intestine.ex.vivo,Stem_intestine.ex.vivo
Ptpn3,0.01583798,0.02949075,0.047462527,0.0391686,0.08530096,0.056293394,0.05988729,0.09020564,0.04222969,0.1023376,0.029907765,0.03665589,0.04551243,0.13239485,0.0951158,0.11427863,0.060739566
D630039A03Rik,0.03460692,0.2675221,0.12583412,0.15819901,0.11678203,0.13912334,0.13831313,0.11925341,0.035801686,0.037620246,0.0028338507,0.18513767,0.07639572,0.08584767,0.042167768,0.023028418,0.061296273
Txn1,2.1940825,2.8926663,2.296732,2.5762336,2.9297965,2.6891227,2.6675775,3.2365203,2.7465906,3.2739444,1.9944255,2.453976,2.2404096,3.3347824,3.345718,3.040929,2.8479545
Lpar1,0.04847001,0.07124183,0.04734336,0.076429315,0.07085759,0.12943962,0.09126505,0.15834592,0.18381879,0.0058590886,0.005864969,0.030537821,0.017693251,0.02094755,0.07489902,0.0863418,0.08546556
AI314180,0.1699272,0.15378305,0.16247033,0.15883051,0.21965483,0.18247433,0.17679031,0.10092231,0.07825309,0.10598403,0.07476513,0.11763063,0.13872051,0.15647314,0.13054888,0.14085257,0.17799039
Ptgr1,0.21576162,0.64122176,0.39480245,0.5503436,0.5440997,0.5904938,0.4580075,0.8036614,0.5348387,0.55033356,0.3273166,0.91714025,0.47778752,1.187426,1.612526,1.036423,1.266781
Dnajc25,0.10100369,0.22013506,0.08062384,0.07938631,0.09317504,0.09458327,0.07487035,0.12771258,0.122682616,0.066373624,0.10040725,0.15053199,0.084990256,0.12178946,0.081776164,0.09823719,0.15686806
Gng10,0.056940418,0.016438665,0.027844656,0.028053492,0.027463203,0.024672281,0.010464385,0.009797605,0.004255335,0.0015780372,0.008746279,0.0,0.008000182,0.0066934843,0.002697727,0.0022214632,0.0013544196
Ugcg,0.06303632,0.0629516,0.051490862,0.06706044,0.059541073,0.08091361,0.06633816,0.09468695,0.17885241,0.10541556,0.023148263,0.050643556,0.022360398,0.09027233,0.12758063,0.39081424,0.05239894
Susd1,0.0049547614,0.0019543683,0.0,0.001824132,0.0033556025,0.0,0.0,0.0049993936,0.0065035983,0.0,0.012814015,0.008122831,0.0,0.0045675663,0.0044161743,0.013154529,0.008015047
