,Club_respiratory,Basal_respiratory,Ciliated_respiratory,Tuft_respiratory,Neuroendocrine_respiratory,Goblet_respiratory,Ionocyte_respiratory
Ahdc1,0.06617981,0.079731904,0.08864049,0.08260579,0.07795222,0.09817612,0.055251893
Gm26615,0.019882731,0.037805744,0.023181342,0.009613857,0.03050377,0.04557238,0.056016013
Wasf2,0.20558907,0.21334785,0.17370063,0.28273106,0.15919821,0.17794198,0.22662684
Gpr3,0.0013761334,0.0050298516,0.0031371813,0.0069297017,0.0,0.0060288636,0.0
Cd164l2,0.025730388,0.052946884,0.024814341,0.10925236,0.2919893,0.045258816,0.0
Map3k6,0.014081781,0.012949095,0.025781928,0.0,0.0,0.011406368,0.0
Sytl1,0.14656459,0.22425559,0.22187236,0.11118496,0.29159525,0.16259897,0.0
Tmem222,0.1964555,0.28635266,0.20396873,0.34771714,0.2725212,0.19152412,0.21499532
Wdtc1,0.0647683,0.04207847,0.1236196,0.070937775,0.10042634,0.045215163,0.056016013
Slc9a1,0.040179707,0.042653456,0.052946363,0.06653591,0.041025985,0.06881565,0.13432762
Fam46b,0.4446941,0.42840794,0.5027566,0.1874285,0.2753388,0.45776334,0.3864674
Trnp1,0.031282917,0.10877394,0.03752322,0.061193973,0.28208336,0.009389134,0.18573244
Kdf1,0.103711784,0.16411403,0.10752212,0.2077798,0.16443819,0.121939935,0.18079044
Nudc,0.44388723,0.71838915,2.260137,0.85482895,0.97250336,0.52079105,0.6789159
Gpatch3,0.0136819715,0.009652482,0.010313259,0.019923054,0.011338554,0.0026595814,0.0
Gpn2,0.07272076,0.08698323,0.14757188,0.12252928,0.063137,0.07251452,0.109122
Sfn,1.2337598,3.3948853,1.4697889,0.85591966,1.7309437,1.0682354,1.7952197
Zdhhc18,0.049610652,0.032988787,0.061502934,0.04084156,0.041856244,0.01074287,0.055948164
Pigv,0.0655512,0.081036694,0.12687522,0.09719879,0.08967012,0.038006462,0.052572608
Arid1a,0.19104281,0.22420394,0.28681138,0.43040124,0.3095856,0.19378819,0.31017512
Gm12974,0.00065015367,0.0032846753,0.01837521,0.0,0.014385343,0.0,0.0
Rps6ka1,0.09256034,0.12441845,0.15448728,0.04319958,0.0652863,0.06518346,0.20514253
Hmgn2,0.022849726,0.055031836,0.095337786,0.047928754,0.23903887,0.04130603,0.043514945
Dhdds,0.07528711,0.07818516,0.09216944,0.101668335,0.15694578,0.07687168,0.056016013
Aim1l,0.054864623,0.012712922,0.13161509,0.018261978,0.03473059,0.0,0.0
Cd52,0.0061172037,0.0123003805,0.016932046,0.0093034,0.0050016656,0.0,0.0
Ubxn11,0.014460062,0.018175956,0.88171643,0.03694984,0.06443011,0.031402,0.0
Sh3bgrl3,1.0622051,1.9300673,1.2808541,1.2443761,1.3251363,0.5582839,1.3525342
Cep85,0.020782622,0.026953416,0.010783007,0.06537495,0.011839858,0.016525498,0.0
Gm7534,0.00030981272,0.0,0.0,0.0740854,0.0,0.0,0.0
Catsper4,0.001680295,0.002923096,0.003634965,0.0,0.0,0.0,0.0
Cnksr1,0.08715364,0.090530954,0.16172643,0.12767592,0.10206488,0.06682882,0.0632273
Zfp593,0.12533906,0.14091752,0.12652537,0.2573249,0.22455543,0.18226394,0.19311477
E130218I03Rik,0.0010255052,0.0011609233,0.0,0.0,0.0,0.0,0.0
Grrp1,0.0,0.00031354016,0.019878183,0.0035507102,0.010549456,0.0,0.0
Pdik1l,0.02340228,0.026695158,0.04133054,0.0,0.032879222,0.023210928,0.13811716
Trim63,0.0,0.00031017262,0.0,0.0,0.0,0.0,0.0
Extl1,0.0012201882,0.00037396484,0.0,0.0,0.0,0.0,0.0
Pafah2,0.07744361,0.088878855,0.03705215,0.015335056,0.08119797,0.045975186,0.05354803
Stmn1,0.024640966,0.12993601,0.027911436,0.038053777,0.120765455,0.0,0.1493434
Paqr7,0.018259557,0.07393877,0.23642515,0.036837943,0.068230055,0.0026595814,0.0
Aunip,0.0019607071,0.0077144336,0.0024276974,0.0,0.0,0.0,0.0
Mtfr1l,0.22752471,0.18815097,0.19939531,0.2695073,0.41810504,0.12958439,0.18879868
Sepn1,0.045397624,0.039390404,0.014568114,0.037753984,0.033980165,0.031154508,0.153149
Man1c1,0.035596445,0.019300675,0.0024335957,0.01833329,0.0,0.050810613,0.043569736
Ldlrap1,0.07949314,0.15996884,0.02955922,0.038012434,0.08807891,0.05213035,0.10859345
Tmem57,0.120823175,0.13436031,0.12351116,0.19571765,0.23781765,0.2327874,0.1988366
Rhd,0.0,0.0,0.0,0.0,0.0,0.009585357,0.0
Tmem50a,0.8519986,1.2149969,1.0047922,0.84654427,1.2646205,0.73906624,0.9216604
Rsrp1,1.1251358,2.0845668,1.1962156,1.5845015,2.2518928,1.1503581,1.5035927
Syf2,0.5070965,0.70453924,0.6172574,0.6050282,0.6588134,0.32080457,0.36754718
Runx3,0.0,0.0,0.00546636,0.0,0.0,0.0,0.0
Clic4,0.11038574,0.10222385,0.2729499,0.09376646,0.0927541,0.27462196,0.3417602
Gm12984,0.0,0.0,0.00644036,0.0,0.0,0.0026595814,0.0
Srrm1,0.2767496,0.27950764,0.36322272,0.4296123,0.23058355,0.21764947,0.40234455
Ncmap,0.016871355,0.019675523,0.025768228,0.0069846204,0.0,0.0,0.0
Rcan3,0.016954908,0.013523859,0.02237548,0.019456286,0.049727857,0.027940448,0.053201046
Nipal3,0.065417,0.042057563,0.1921975,0.17675808,0.053107444,0.073550224,0.0
Stpg1,0.0031162233,0.0015416243,0.076631755,0.0,0.0,0.0,0.0
Grhl3,0.016906548,0.017362429,0.0034364257,0.023157991,0.0,0.0,0.0
1700029M20Rik,0.0,0.00028243795,0.0,0.0,0.0,0.0,0.0
Ifnlr1,0.028665083,0.01456109,0.052545093,0.017227396,0.019725155,0.0,0.0
Il22ra1,0.00024551988,0.00032282853,0.001733476,0.0,0.0,0.010438844,0.0
Myom3,0.00564167,0.0034353961,0.0065240413,0.0,0.0,0.0,0.0
Srsf10,0.1810999,0.28726643,0.5463966,0.2687824,0.3294562,0.14780335,0.3459479
Pnrc2,0.20606859,0.42156595,0.38427904,0.581063,0.3932717,0.22016563,0.42240256
Cnr2,0.0,0.0,0.0024367599,0.0,0.0,0.0,0.0
Fuca1,0.6579411,0.59205353,0.8800045,0.9548615,0.6447386,0.5754505,0.86108845
Hmgcl,0.15569621,0.16656646,0.12605192,0.14874208,0.165724,0.22567147,0.31455928
Gale,0.29322815,0.1610635,0.14817604,0.21355988,0.41065142,0.57875997,0.35982382
Lypla2,0.2490517,0.31825382,0.33120215,0.23625828,0.30492672,0.29499844,0.1909663
Pithd1,0.15383878,0.24480315,0.2438305,0.30069715,0.35379168,0.19785665,0.29258427
Tceb3,0.08025854,0.10393765,0.10221212,0.113810614,0.084715344,0.091294155,0.044171333
Gm13008,0.00019423576,0.0002531575,0.0,0.0,0.0,0.0,0.0
Gm24362,0.0015283948,0.0015868985,0.01602287,0.009580485,0.029278377,0.0,0.053201046
Rpl11,0.113554224,0.2420768,0.112196684,0.16300395,0.19790463,0.18816034,0.11643882
Id3,0.34308985,1.2080388,0.24254505,0.35533667,0.46958172,0.42046025,0.46758923
E2f2,0.0117514245,0.008527475,0.01080426,0.020507619,0.028166438,0.0,0.0
Asap3,0.022401558,0.04260559,0.02838569,0.01846189,0.014026565,0.03170711,0.053029496
Tcea3,0.30195642,0.1819331,0.90217185,0.078379795,0.114025824,0.7089758,0.18920773
Zfp46,0.027701266,0.04315042,0.04059677,0.039724577,0.100748174,0.0,0.11420521
Hnrnpr,0.18029015,0.31709197,0.14103742,0.33908466,0.38625768,0.13608184,0.15808672
Htr1d,0.0013448314,0.0020448396,0.0,0.0,0.0,0.0,0.0
6030445D17Rik,0.00017589812,0.0011326434,0.0,0.0,0.0,0.0,0.0
Luzp1,0.134384,0.28273898,0.14877492,0.22279234,0.1847753,0.034691274,0.22352447
Kdm1a,0.11579021,0.105088785,0.20702212,0.19041505,0.17847472,0.12561402,0.0
4930549C01Rik,0.0,0.00068805215,0.0030050029,0.0,0.0,0.0,0.0
Ephb2,0.11883382,0.1257775,0.010809623,0.20173062,0.08513975,0.05033452,0.062012468
C1qb,0.014960833,0.029415885,0.0651482,0.01843973,0.039358977,0.019805608,0.0
C1qc,0.011642998,0.01998297,0.03928241,0.0,0.045748238,0.019526836,0.0
C1qa,0.013959995,0.019974455,0.060729112,0.036405046,0.045048494,0.016543591,0.0632273
Epha8,0.0,0.0002704141,0.0,0.0,0.0,0.0,0.0
Zbtb40,0.01085721,0.007015609,0.02160243,0.029840704,0.0,0.02516705,0.0
Gm13003,0.00067164976,0.0014683488,0.0,0.0,0.0,0.0155704385,0.0
Wnt4,0.15173694,0.5523695,0.2474968,0.078427784,0.19433708,0.092379585,0.6086768
Cdc42,0.89824146,1.3863051,1.182642,1.1975064,1.2564725,0.6579368,1.2965245
2810405F17Rik,0.0015704962,0.00453171,0.0026372455,0.007961809,0.0,0.0,0.0
Hspg2,0.0026680105,0.0036832273,0.0,0.036841646,0.0,0.010199615,0.0
Usp48,0.0999568,0.08338143,0.11259117,0.13941263,0.20092572,0.21743965,0.05354803
Rap1gap,0.1157506,0.053673435,0.041076962,0.36160493,0.46736717,0.24645491,0.21789214
Rap1gapos,0.03451253,0.005454407,0.040331297,0.10640337,0.049885113,0.029381646,0.0
