,EPI_skin.coarse,ANA_skin.coarse,FIB_skin.coarse,MEL_skin.coarse
Col23a1,0.05777324363589287,0.006862306036055088,0.09912016242742538,0.036618173122406006
Phykpl,0.031786952167749405,0.02728993445634842,0.019073184579610825,0.007854890078306198
Hnrnpab,0.5985631942749023,1.399740219116211,0.4457719624042511,0.7577828764915466
Nhp2,0.8298161625862122,1.6312276124954224,0.34146299958229065,0.5221346020698547
Rmnd5b,0.10351142287254333,0.15589134395122528,0.14005503058433533,0.19609828293323517
N4bp3,0.09708334505558014,0.10748250782489777,0.007371983025223017,0.038620032370090485
D930048N14Rik,0.010624578222632408,0.021898522973060608,0.001762774889357388,0.0
0610009B22Rik,0.1643807291984558,0.2858962118625641,0.2140146642923355,0.4656476378440857
Sec24a,0.08287486433982849,0.044861771166324615,0.06714847683906555,0.06411799043416977
Sar1b,0.49891752004623413,0.651589572429657,0.3170417547225952,0.8270666599273682
Jade2,0.015093788504600525,0.010192281566560268,0.01511489786207676,0.009258747100830078
Gm26551,0.002816804451867938,0.001068775192834437,0.0,0.005779149476438761
Cdkn2aipnl,0.07125098258256912,0.25006499886512756,0.027678189799189568,0.08910525590181351
Ube2b,0.6247724294662476,1.0280731916427612,0.4381336569786072,0.8628769516944885
Gm12204,0.0006672429153695703,0.0024040902499109507,0.0,0.0
Cdkl3,0.008645754307508469,0.04207661747932434,0.013085568323731422,0.018817998468875885
Gm12205,0.0,0.0,0.0,0.0
Ppp2ca,0.3941742777824402,0.5605217814445496,0.2146664708852768,0.4848250150680542
9430098F02Rik,0.0005817175260744989,0.0,0.0,0.0
Olfr1373,0.0,0.0,0.0,0.0
Olfr1371,0.0,0.0,0.0,0.0
Skp1a,0.6214595437049866,1.2321470975875854,0.4453382194042206,0.6831253170967102
Gm12207,0.004025993403047323,0.006465792190283537,0.0036376244388520718,0.0
Tcf7,0.015463174320757389,0.05157732591032982,0.06327767670154572,0.10370694100856781
A630014C17Rik,0.0,0.0006565326475538313,0.0,0.0
Vdac1,0.676377534866333,0.6458454728126526,0.23998938500881195,0.6761326193809509
9530068E07Rik,0.181335911154747,0.22251856327056885,0.2916412651538849,0.3353464603424072
Fstl4,0.0007528166170231998,0.0015399397816509008,0.0,0.13712474703788757
Gm11186,0.0,0.0,0.0,0.0
