,Tuft_intestine,Goblet_intestine,Endocrine_intestine,Stem_intestine,TA.G1_intestine,TA.G2_intestine,Paneth_intestine,Enterocyte.Mature.Proximal_intestine,Enterocyte.Mature.Distal_intestine
Taf5l,0.15756133,0.12526229,0.09285426,0.15867919,0.17898838,0.19616967,0.14677416,0.05526436,0.063981235
Urb2,0.018256057,0.03727054,0.017043646,0.027623765,0.04098503,0.05788992,0.052269742,0.012962663,0.004521002
Galnt2,0.0,0.0007603279,0.0025675797,0.0,0.0031811937,0.0,0.0,0.0,0.0
Gm15775,0.004607791,0.0,0.0,0.0,0.0026166716,0.0,0.0,0.0,0.0
Cog2,0.12734193,0.1363357,0.055041958,0.08442582,0.07820163,0.08666004,0.09861097,0.08453073,0.06139038
Agt,0.47328976,0.029616417,0.015086944,0.0018549237,0.0,0.0063435603,0.034337804,0.00481181,0.0
Capn9,0.0,0.4212326,0.022778446,0.0012307412,0.004339254,0.0060264147,0.0010831913,0.003752193,0.0044485456
2310022B05Rik,0.018454097,0.10891928,0.17035036,0.052815855,0.052862905,0.059388723,0.073110394,0.058879964,0.022216221
Ttc13,0.14704761,0.092786424,0.12191444,0.1364838,0.1749812,0.14105603,0.12850477,0.09244995,0.056189112
Arv1,0.031825244,0.029110381,0.013067864,0.032003284,0.047889873,0.02015482,0.055167858,0.008761531,0.009631176
Fam89a,0.023987522,0.002442309,0.077525824,0.024604853,0.003782871,0.012583179,0.019566404,0.0017487031,0.004059056
2810004N23Rik,0.25769117,0.19972119,0.19233015,0.3500769,0.38291398,0.41948703,0.28189564,0.058438856,0.070999585
Gnpat,0.17956637,0.12129195,0.12622689,0.14697854,0.1748061,0.20068786,0.1604519,0.04521007,0.056045875
Exoc8,0.036902457,0.0369806,0.0696813,0.044476103,0.082812235,0.059925515,0.04727636,0.051594783,0.037102118
Sprtn,0.004859329,0.0065975143,0.0052791596,0.0026236586,0.0,0.0028775998,0.0016461588,0.00669815,0.0
Egln1,0.049751062,0.059706315,0.08903234,0.10221945,0.14057091,0.09154416,0.104705185,0.07702978,0.032635596
Tsnax,0.27178687,0.19874611,0.2808265,0.25485638,0.251326,0.30794,0.25787354,0.110435225,0.056220163
Disc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0050708097,0.0,0.0036448445
Sipa1l2,0.013995854,0.03205216,0.020628965,0.025524393,0.025462024,0.047177676,0.041819796,0.026881015,0.010897445
Map10,0.022387926,0.0063868,0.007941984,0.0050576213,0.0018806284,0.0011518465,0.0,0.002460833,0.0
