,BEC
1600014C10Rik,0.049920760095119476
1600016N20Rik,0.007624015212059021
1600020E01Rik,0.04083837941288948
1600029D21Rik,0.7788076400756836
1700001G11Rik,0.002545421477407217
1700001O22Rik,0.006229662336409092
1700003E16Rik,0.008588076569139957
1700003F12Rik,0.02300405316054821
1700007K13Rik,0.007839377038180828
1700007L15Rik,0.009347314946353436
1700008J07Rik,0.01016213744878769
1700009P17Rik,0.04611867293715477
1700010I14Rik,0.005378551781177521
1700011H14Rik,0.5380910634994507
1700011J10Rik,0.049486368894577026
1700012B15Rik,0.0209187138825655
1700012D01Rik,0.0036769600119441748
1700012D14Rik,0.0019055744633078575
1700013F07Rik,0.010597734712064266
1700016C15Rik,0.007240337785333395
1700016K19Rik,0.011276990175247192
1700017B05Rik,0.030271073803305626
1700018L02Rik,0.0025919941253960133
1700019D03Rik,0.0036546492483466864
1700019G17Rik,0.04125218093395233
1700020I14Rik,0.028313498944044113
1700021F05Rik,0.08482016623020172
1700021K19Rik,0.08486304432153702
1700025G04Rik,0.019987862557172775
1700026L06Rik,0.0063941590487957
1700029J07Rik,0.030793748795986176
1700030C10Rik,0.021469730883836746
1700030J22Rik,0.003370947204530239
1700030K09Rik,0.03802283853292465
1700037C18Rik,0.015333413146436214
1700037H04Rik,0.0816531777381897
1700040L02Rik,0.04309363663196564
1700048O20Rik,0.0025150226429104805
1700049E15Rik,0.01599135808646679
1700049G17Rik,0.014413567259907722
1700052K11Rik,0.014789131470024586
1700052N19Rik,0.022760089486837387
1700056E22Rik,0.008364972658455372
1700066B19Rik,0.0028918576426804066
1700066M21Rik,0.01192830316722393
1700086O06Rik,0.005430353805422783
1700094D03Rik,0.02388678304851055
1700096K18Rik,0.017588168382644653
1700102H20Rik,0.013359367847442627
1700102P08Rik,0.002356315962970257
1700110K17Rik,0.0048272875137627125
1700113A16Rik,0.01795579306781292
1700120C14Rik,0.0027692627627402544
1700123M08Rik,0.002314722165465355
1700123O20Rik,0.10275794565677643
1810009A15Rik,0.11423522233963013
1810010D01Rik,0.0427371971309185
1810010H24Rik,0.03037230670452118
1810011O10Rik,0.28416332602500916
1810013L24Rik,0.16059380769729614
1810014B01Rik,0.027841679751873016
1810019D21Rik,0.021413544192910194
1810019J16Rik,0.14286191761493683
1810021B22Rik,0.013477425090968609
1810022K09Rik,0.4014649987220764
1810024B03Rik,0.009653076529502869
1810026B05Rik,0.45631641149520874
1810026J23Rik,0.10697297006845474
1810030O07Rik,0.1180201917886734
1810032O08Rik,0.04837268590927124
1810034E14Rik,0.016408754512667656
1810037I17Rik,0.48812413215637207
1810041L15Rik,0.03486134111881256
1810043G02Rik,0.09158498048782349
1810043H04Rik,0.1813388168811798
1810044D09Rik,0.014247576706111431
1810055G02Rik,0.033509355038404465
1810058I24Rik,0.2850397527217865
1810062G17Rik,0.023099461570382118
1810062O18Rik,0.00569489412009716
1810064F22Rik,0.0173198152333498
2010002M12Rik,0.0056657069362699986
2010003O02Rik,0.13178114593029022
2010012O05Rik,0.06258181482553482
2010015L04Rik,0.051919206976890564
2010107E04Rik,1.0776448249816895
2010107G23Rik,0.11110474914312363
2010111I01Rik,0.08750813454389572
2010204K13Rik,0.005412694066762924
2010300C02Rik,0.0966179147362709
2010315B03Rik,0.029715949669480324
2010320M18Rik,0.0787045881152153
2200002D01Rik,0.12120271474123001
2200002J24Rik,0.011944402940571308
2210013O21Rik,0.11152622103691101
2210015D19Rik,0.020147278904914856
2210016F16Rik,0.16055437922477722
2210016L21Rik,0.1348697394132614
2210018M11Rik,0.14414483308792114
2210039B01Rik,0.006793756037950516
2210404J11Rik,0.0318157896399498
2210408F21Rik,0.052606698125600815
2210408I21Rik,0.02272159419953823
2210416O15Rik,0.004755673464387655
2210417K05Rik,0.005163990892469883
2300009A05Rik,0.12076884508132935
2310001H17Rik,0.04092128202319145
2310003H01Rik,0.06355694681406021
2310007B03Rik,0.007279059384018183
2310007L24Rik,0.005418355111032724
2310008H04Rik,0.030933460220694542
2310009A05Rik,0.11877952516078949
2310009B15Rik,0.08656473457813263
2310010J17Rik,0.07786692678928375
