,M.cell_intestine.ex.vivo,Tuft_intestine.ex.vivo,Goblet_intestine.ex.vivo,Endocrine_intestine.ex.vivo,TA_intestine.ex.vivo,Enterocyte.1_intestine.ex.vivo,Enterocyte.2_intestine.ex.vivo,Stem_intestine.ex.vivo
Rbm19,0.02906025,0.018719846,0.01756773,0.0043597016,0.06881096,0.0127529735,0.013352517,0.09320614
Lhx5,0.020692857,0.0,0.0,0.0,0.015257166,0.011307578,0.0074995467,0.0023436127
Sdsl,0.20873621,0.35914642,0.40954286,0.31591517,0.47460604,0.3392518,0.1760835,0.80648524
Gm15690,0.0,0.0,0.0,0.0,0.0017665973,0.0,0.0,0.0016967334
Plbd2,0.10133244,0.0868989,0.09178363,0.041870072,0.11995905,0.06423813,0.10024816,0.14591964
Slc8b1,0.03231171,0.018379696,0.06900507,0.06479667,0.028878955,0.014445568,0.024265343,0.046262376
Tpcn1,0.058308814,0.067070074,0.08583362,0.08501945,0.023762856,0.062135383,0.112545595,0.05512638
Iqcd,0.0,0.009519437,0.002303378,0.002202426,0.0011901755,0.0,0.0,0.0
Rita1,0.05145169,0.044210844,0.022638485,0.0155405095,0.08296279,0.065794066,0.040881086,0.12279502
Ddx54,0.3602234,0.2547624,0.23530959,0.2010826,0.42249754,0.24126977,0.2503998,0.3460726
Gm43579,0.0016580509,0.0,0.0,0.0,0.0015290923,0.0,0.0,0.001661848
Rasal1,0.07572835,0.0,0.01301446,0.059214614,0.11318301,0.029763514,0.03046627,0.009591239
Oas3,0.0017028811,0.0,0.0,0.0,0.0,0.0,0.007958551,0.0
Oas1c,0.005578701,0.0,0.005390652,0.0,0.0065848823,0.026082808,0.002262012,0.0047936924
Oas1f,0.382652,0.010601534,0.07169508,0.012036476,0.015401346,0.0,0.0079492815,0.05015284
Oas1h,0.019107584,0.011924058,0.0,0.0,0.0,0.0,0.0,0.0
Oas1g,0.012292825,0.047330905,0.0,0.0,0.006883829,0.023551159,0.0038565146,0.0024428794
Oas1a,0.06826157,0.08104285,0.018622965,0.007644247,0.02977644,0.026804976,0.035145722,0.04161819
Oas1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ptpn11,0.104432784,0.09396682,0.13744898,0.16348174,0.14208883,0.07839259,0.10183174,0.22379301
Rpl6,0.14106885,0.23827994,0.29317904,0.21898824,0.2931076,0.1158374,0.16062051,0.43434954
Gm15800,0.10511094,0.07702679,0.07521488,0.10443178,0.058835287,0.108432546,0.14514753,0.058593802
Trafd1,0.23329124,0.16908328,0.09363013,0.15297812,0.118118115,0.084663875,0.10515201,0.07145174
Gm42918,0.0,0.0,0.0,0.0067184307,0.0018756923,0.0037533296,0.0026764101,0.0
Naa25,0.17669785,0.03502429,0.08666748,0.07873404,0.2020135,0.031186672,0.07429951,0.14035057
Erp29,0.91187257,1.1180902,0.85145795,0.7424622,0.7621838,0.5870378,0.6386047,1.018162
Tmem116,0.006358278,0.19240099,0.007908768,0.006372507,0.0042830557,0.019385744,0.005198895,0.00855937
Gm42878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016400611
Mapkapk5,0.035475045,0.018612115,0.011884554,0.007049679,0.020406423,0.034594137,0.03196848,0.022187892
Aldh2,0.8956116,2.524616,0.74532974,0.28672093,0.65933895,1.2233187,0.900177,0.90807277
Acad12,0.028620463,0.18733557,0.037393264,0.04257162,0.03439014,0.09216225,0.052852944,0.025660481
Acad10,0.04349263,0.027494395,0.021553596,0.026122268,0.03686312,0.048224535,0.019439174,0.024101097
Brap,0.15870957,0.14346464,0.14694181,0.16186321,0.16923378,0.2010957,0.15779293,0.18465854
Atxn2,0.11554843,0.075823784,0.10350395,0.12684332,0.16255791,0.105655394,0.15801457,0.17828059
Sh2b3,0.14394137,0.0195033,0.02322412,0.04905766,0.06091479,0.029930985,0.041515388,0.062239077
Fam109a,0.20864114,0.06947248,0.09221372,0.15885307,0.22091724,0.45654523,0.39885905,0.15630196
Cux2,0.0,0.0,0.0,0.0,0.0,0.009736816,0.0,0.0
Ccdc63,0.0,0.0,0.0,0.0,0.0,0.018157765,0.003923036,0.0022109535
Ppp1cc,0.19185767,0.1182539,0.12442434,0.14108253,0.17494921,0.13764732,0.24626292,0.1836119
Hvcn1,0.005335483,0.0,0.0044248714,0.0,0.0,0.0,0.0,0.0
Tctn1,0.0071770987,0.0067664636,0.02523168,0.013105465,0.014037449,0.012384784,0.005305654,0.009912242
Pptc7,0.071570195,0.13024497,0.030430518,0.060175523,0.06638629,0.08798196,0.08113836,0.09384771
Rad9b,0.013444722,0.010055685,0.005132633,0.008463089,0.021037228,0.0026856812,0.0,0.015352907
Vps29,0.74907553,0.95586264,0.59286565,0.7145263,0.9063134,0.78448385,0.8465966,0.96737987
Fam216a,0.04519392,0.16577336,0.070979804,0.27198023,0.07567806,0.002362959,0.018852463,0.1877208
Gpn3,0.08764668,0.15408076,0.1028473,0.07871281,0.23270491,0.0461855,0.06457457,0.2711459
Arpc3,1.4023021,1.5259705,1.085753,1.3198087,1.3515813,1.0234728,1.2735704,1.2148734
Anapc7,0.1469135,0.12608638,0.09734413,0.10426741,0.21179934,0.070048444,0.09915966,0.17003366
Atp2a2,0.24172978,0.36336517,0.45152426,0.3300156,0.5077236,0.30641884,0.38784337,0.49970102
Ift81,0.0,0.030562613,0.027755601,0.028938796,0.003659047,0.0048411926,0.021559067,0.018505597
P2rx4,0.058113,0.40964463,0.19617891,0.16061589,0.08765121,0.13242519,0.14102007,0.105018355
Camkk2,0.0,0.091670066,0.032147944,0.13441399,0.0054858173,0.010151368,0.0027545565,0.05090193
Anapc5,0.1044322,0.37144986,0.69810116,0.62707746,0.7741916,0.14161924,0.19531253,1.0351233
Rnf34,0.061516184,0.14660734,0.08954531,0.10198025,0.12301386,0.053752746,0.070353,0.16999048
Kdm2b,0.1647886,0.017761378,0.01813519,0.06282643,0.13332799,0.009779199,0.025733778,0.047042415
A930024E05Rik,0.0,0.0,0.005996433,0.019190961,0.009260659,0.0,0.0,0.012486052
Orai1,0.12787543,0.19045457,0.18092649,0.21688506,0.21368438,0.16450587,0.18183391,0.21360834
Tmem120b,0.006968452,0.013859843,0.047096018,0.043228008,0.007064884,0.0097813,0.005860043,0.016491055
Rhof,0.31441852,0.03666135,0.07625116,0.027257483,0.10283789,0.23671034,0.3268372,0.0328906
AI480526,0.08590716,0.08386586,0.07408658,0.12148811,0.0725642,0.047503185,0.046972863,0.052584127
Gm38102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4932422M17Rik,0.005693319,0.0,0.012781925,0.0067184307,0.019390974,0.015318296,0.0092527885,0.01846747
Setd1b,0.082411356,0.14511912,0.0633377,0.09060136,0.075723186,0.08522314,0.06578629,0.092904486
Psmd9,0.33718574,0.32545385,0.2930514,0.42324987,0.43977192,0.18419261,0.18357378,0.45977423
Hpd,0.0027116663,0.092153,0.42307574,0.22929676,0.0,0.0,0.0,0.0020173253
Gm15860,0.026505066,0.021261364,0.005407422,0.026610384,0.015418056,0.0,0.013165015,0.007773124
Bcl7a,0.07037521,0.12752484,0.088861756,0.09022653,0.11965897,0.0023257162,0.01403916,0.10902534
Mlxip,0.05966738,0.15266356,0.111625195,0.047123548,0.05734491,0.043737013,0.0499015,0.11313363
Diablo,0.2499048,0.41815585,0.25129372,0.2680537,0.3762865,0.065181896,0.13903344,0.31910545
B3gnt4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021982805
Vps33a,0.043055687,0.038231827,0.013663614,0.083755985,0.075174734,0.02876867,0.062809646,0.06867705
Clip1,0.10968658,0.10584388,0.10951496,0.03960008,0.08427964,0.042383227,0.049339496,0.12975559
Zcchc8,0.051588498,0.09191828,0.06719649,0.07149356,0.12206115,0.036466032,0.038508814,0.1186959
Rsrc2,0.3760609,0.4632176,0.2911359,0.4048777,0.47270176,0.12315045,0.3276013,0.4263885
Kntc1,0.0,0.005810517,0.0,0.006581637,0.048153557,0.0,0.0016095283,0.0349606
Denr,0.32464635,0.6022011,0.5119328,0.53077835,0.8146919,0.21432433,0.29789427,0.9066016
Ccdc62,0.028711408,0.05045716,0.030263338,0.0,0.028136814,0.027661288,0.021486754,0.034290113
Hip1r,0.112358496,0.23674916,0.04403808,0.16467047,0.10990765,0.21419552,0.117191695,0.09859804
Vps37b,0.21445858,0.139,0.08616107,0.269275,0.10802784,0.1609519,0.19328693,0.12379445
Gm34086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abcb9,0.031780493,0.09545451,0.043498363,0.27786615,0.020420305,0.090798534,0.043326877,0.027285954
Gm16001,0.0,0.0,0.0,0.007405373,0.002016369,0.004909048,0.0,0.0009509641
